id,web_name,team,value,minutes,goals_scored,assists,clean_sheets,bonus,form,threat,influence,creativity,xG,xA,selected_by_percent,points_per_game,total_points,FDR,next_gameweek_points
350,Gvardiol,13,59,2022,5,0,5,7,3.8,396.0,575.2,345.0,4.18,2.15,18.6,3.9,89,2,3.9
351,Haaland,13,147,2124,19,2,5,23,6.5,1281.0,811.8,273.3,18.13,1.30,27.7,6.2,149,2,6.2
352,J.Alvarez,13,70,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.1,0.0,0,1,0.0
353,João Cancelo,13,53,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.2,0.0,0,2,0.0
354,Kovačić,13,54,1543,4,2,6,10,4.8,147.0,409.6,434.1,1.39,2.51,1.2,3.7,74,4,3.7
355,Lewis,13,44,1400,1,2,3,1,0.2,122.0,225.4,176.8,1.10,0.80,4.6,2.5,47,4,2.5
356,Matheus N.,13,49,887,0,4,2,2,2.8,122.0,218.6,294.6,0.53,2.11,0.1,2.4,39,4,2.4
357,McAtee,13,46,84,1,0,0,0,2.0,35.0,35.0,15.2,0.79,0.03,0.1,1.7,12,3,1.7
358,Ortega Moreno,13,52,810,0,0,2,0,0.5,0.0,224.0,0.0,0.00,0.00,0.6,2.8,25,4,2.8
360,Rodrigo,13,62,65,0,0,0,0,0.0,0.0,10.8,17.1,0.00,0.09,0.8,1.0,2,4,1.0
361,Rúben,13,54,1176,0,0,4,1,1.5,76.0,250.0,122.7,1.12,0.75,2.2,2.4,34,4,2.4
362,Stones,13,53,454,2,0,0,1,0.2,70.0,136.2,47.8,0.60,0.17,1.1,2.2,22,1,2.2
363,Walker,13,51,966,0,0,0,0,0.0,29.0,157.4,147.7,0.12,1.34,2.8,0.9,13,3,0.9
571,Savinho,13,63,1167,1,9,3,12,2.5,455.0,308.2,483.2,3.10,5.12,2.5,4.1,77,1,4.1
607,O’Reilly,13,49,18,0,0,0,0,0.2,2.0,4.4,0.9,0.03,0.00,0.0,1.0,1,3,1.0
625,Gündogan,13,64,1338,0,1,3,0,1.5,164.0,181.6,440.3,1.59,2.85,0.4,1.9,40,4,1.9
626,Kaboré,13,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,1,0.0
671,Wright,13,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,2,0.0
672,Simpson-Pusey,13,40,95,0,0,0,0,0.0,2.0,19.6,2.2,0.00,0.01,0.0,0.5,1,4,0.5
675,Wilson-Esbrand,13,40,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,3,0.0
698,Mubama,13,45,27,0,0,0,0,0.2,5.0,0.2,0.1,0.04,0.00,0.1,1.0,1,2,1.0
703,Alleyne,13,40,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,1,0.0
704,Brits,13,40,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,3,0.0
732,Khusanov,13,50,53,0,0,0,0,0.0,2.0,2.8,0.2,0.02,0.00,0.1,0.0,0,2,0.0
733,Vitor Reis,13,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,2,0.0
736,Guardiola,13,15,0,0,0,0,0,5.0,0.0,0.0,0.0,0.00,0.00,1.1,0.0,10,4,0.0
755,Marmoush,13,70,144,0,0,0,0,2.0,12.0,11.4,59.8,0.17,0.42,2.7,2.0,4,2,2.0
